BER,OSNR,InputPower,Failures
2.14e-08,38.5,-19.2,0
1.64e-07,25.7,-19.2,0
2.14e-08,38.6,-19.2,0
1.64e-07,25.9,-19.2,0
1.62e-07,25.6,-19.2,0
2.04e-08,38.6,-19.2,0
1.65e-07,25.7,-19.2,0
2.15e-08,38.5,-19.2,0
1.63e-07,26.0,-19.2,0
2.12e-08,38.6,-19.2,0
1.6e-07,25.6,-19.2,0
2.1e-08,38.5,-19.2,0
2.09e-08,38.6,-19.2,0
1.61e-07,25.9,-19.2,0
1.59e-07,25.8,-19.6,0
2.19e-08,38.6,-19.6,0
2.03e-08,38.6,-19.6,0
1.76e-07,26.0,-19.6,0
2.1e-08,38.6,-19.6,0
1.86e-07,25.6,-19.6,0
2.02e-08,38.5,-19.6,0
1.84e-07,25.6,-19.6,0
1.87e-07,25.7,-19.6,0
2.14e-08,38.5,-19.6,0
1.84e-07,25.7,-19.6,0
2.19e-08,38.5,-19.6,0
1.85e-07,25.8,-19.6,0
2.28e-08,38.6,-19.6,0
2.15e-08,38.6,-19.6,0
1.84e-07,25.4,-19.6,0
2.2e-08,38.6,-19.6,0
1.88e-07,25.5,-19.6,0
1.9e-07,25.8,-19.6,0
2.05e-08,38.6,-19.6,0
2.19e-08,38.6,-19.6,0
1.87e-07,25.7,-19.6,0
1.86e-07,25.8,-19.6,0
2.1e-08,38.6,-19.6,0
2.08e-08,38.5,-19.6,0
1.89e-07,25.6,-19.6,0
2.09e-08,38.6,-19.6,0
1.86e-07,25.7,-19.6,0
1.86e-07,25.8,-19.6,0
2.12e-08,38.5,-19.6,0
2.14e-08,38.6,-19.6,0
1.88e-07,25.6,-19.6,0
2.11e-08,38.6,-19.6,0
1.86e-07,25.7,-19.6,0
2.14e-08,38.5,-19.6,0
1.88e-07,25.7,-19.6,0
1.87e-07,25.7,-20.1,0
2.13e-08,38.6,-20.1,0
1.9e-07,25.8,-20.1,0
2.15e-08,38.6,-20.1,0
1.65e-07,25.4,-20.1,0
2.16e-08,38.5,-20.1,0
2.19e-07,25.5,-20.1,0
2.18e-08,38.6,-20.1,0
2.14e-08,38.6,-20.1,0
2.21e-07,25.4,-20.1,0
2.22e-08,38.5,-20.1,0
2.2e-07,25.5,-20.1,0
2.05e-08,38.6,-20.1,0
2.2e-07,25.3,-20.1,0
2.11e-08,38.6,-20.1,0
2.17e-07,25.2,-20.1,0
2.05e-08,38.5,-20.1,0
2.19e-07,25.3,-20.1,0
2.16e-07,25.4,-20.1,0
2.1e-08,38.6,-20.1,0
2.15e-07,25.2,-20.1,0
2.11e-08,38.5,-20.1,0
2.17e-07,25.2,-20.1,0
2.12e-08,38.6,-20.1,0
2.2e-07,25.2,-20.1,0
2.19e-08,38.6,-20.1,0
2.23e-08,38.4,-20.1,0
2.18e-07,25.4,-20.1,0
2.25e-08,38.6,-20.1,0
2.2e-07,25.7,-20.1,0
1.69e-08,38.6,-20.1,0
2.19e-07,25.2,-20.1,0
2.29e-08,38.6,-20.1,0
1.65e-07,25.3,-20.1,0
2.23e-08,38.6,-20.1,0
2.22e-07,25.4,-20.1,0
2.27e-08,38.6,-20.1,0
2.19e-07,25.3,-20.1,0
2.17e-08,38.6,-20.1,0
2.19e-07,25.3,-20.6,0
2.28e-08,38.6,-20.6,0
2.26e-07,25.5,-20.6,0
