BER,OSNR,InputPower
0.006678288,23.5,-7.49
0.00627096,24.2,-7.5
0.007461479,22.9,-7.72
0.007577709,23.2,-7.72
0.007221166,22.9,-7.83
0.007476985,22.6,-7.83
0.00885048,22.3,-8.08
0.008675094,22.3,-8.07
0.008740824,22.1,-8.08
0.008637866,22.1,-8.19
0.009328019,22.3,-8.19
0.009412808,21.8,-8.19
0.01037484,22.1,-8.38
0.01019038,21.8,-8.38
0.01074704,21.5,-8.5
0.01086851,21.5,-8.51
0.01147782,21.5,-8.68
0.0119479,21.0,-8.68
0.01266806,21.0,-8.81
0.01179335,21.8,-8.81
0.0137649,21.2,-8.94
0.01352221,20.4,-8.94
0.01393658,20.7,-9.01
0.01335174,20.7,-9.03
0.01417753,21.0,-9.01
0.01495586,20.4,-9.15
0.01489781,20.4,-9.13
0.01655421,20.4,-9.33
0.01585647,20.2,-9.33
0.01596709,20.4,-9.32
0.01641051,19.9,-9.33
0.01747895,19.7,-9.46
0.0173928,19.9,-9.46
0.01787618,19.9,-9.45
0.01931475,19.4,-9.67
0.01936859,19.9,-9.67
0.01912999,19.7,-9.68
0.02095898,19.7,-9.81
0.00183488,29.6,-5.04
0.00190334,29.6,-5.02
0.002136545,28.7,-5.44
0.002449625,28.7,-5.44
0.002504762,27.4,-5.7
0.002624455,27.8,-5.7
0.003165774,26.6,-6.02
0.003198136,26.6,-6.01
0.00353347,27.0,-6.39
0.003904468,26.3,-6.39
0.00360446,26.6,-6.39
0.004736551,25.2,-6.83
0.004731852,25.2,-6.83
0.004787844,24.5,-6.83
0.005224789,24.5,-7.07
0.005191984,24.5,-7.07
0.005253565,24.2,-7.07
0.005251764,24.2,-7.07
0.005612733,23.8,-7.23
0.005981207,24.2,-7.23
0.005458985,24.2,-7.24
0.006042123,23.8,-7.33
0.00561805,23.8,-7.33
0.005709318,24.2,-7.32
0.005942844,24.5,-7.33
0.00548027,24.5,-7.33
0.006549393,23.5,-7.62
0.006977574,23.2,-7.62
0.006424446,23.2,-7.61
0.006851251,23.5,-7.62
0.006648699,23.8,-7.62
0.006387615,23.5,-7.5
0.006341114,23.2,-7.5
0.006667682,23.5,-7.5
0.007042128,23.2,-7.8
0.007552798,22.9,-7.78
0.007838526,22.9,-7.78
0.007508229,23.5,-7.78
0.007631183,23.2,-7.78
0.007006346,22.9,-7.78
0.007663327,22.9,-7.78
0.007569678,23.2,-7.78
0.00698832,22.9,-7.78
0.007522504,22.6,-7.78
0.007570618,22.9,-7.78
0.007666913,23.2,-7.78
0.006979533,22.6,-7.78
0.007048495,22.9,-7.78
0.007603361,23.2,-7.78
0.007258832,23.2,-7.78
0.009216155,22.1,-8.18
0.008769931,22.1,-8.18
0.009151343,21.8,-8.19
0.00872392,22.1,-8.18
0.009141412,22.1,-8.19
0.01023826,22.1,-8.38
0.01013804,21.5,-8.38
0.01015481,21.8,-8.38
0.009940793,21.8,-8.38
0.009601211,22.1,-8.39
0.01007305,21.5,-8.38
0.01004957,22.3,-8.38
0.01077157,21.2,-8.61
0.01086279,21.8,-8.6
0.01136502,21.5,-8.6
0.01071025,21.8,-8.6
0.008704458,22.3,-8.07
0.00833189,22.9,-8.08
0.008715472,22.1,-8.07
0.00867568,22.6,-8.07
0.01009681,22.1,-8.38
0.01015848,22.1,-8.38
0.01007558,22.1,-8.38
0.01086227,21.8,-8.5
0.01094528,21.8,-8.48
0.001733048,29.1,-5.06
0.001896659,29.1,-5.06
0.001894303,30.1,-5.06
0.001567279,28.7,-5.05
0.001843449,29.6,-5.06
0.001806508,29.1,-5.06
0.001804849,28.7,-5.06
0.001846944,30.5,-5.06
0.002155398,28.7,-5.46
0.002409724,28.3,-5.46
0.002313067,28.7,-5.46
0.00225051,27.0,-5.46
0.002374253,28.3,-5.48
0.002411033,27.0,-5.48
0.002430847,28.7,-5.46
0.00231115,27.8,-5.48
0.002231503,28.3,-5.46
0.002354565,27.8,-5.48
0.002279845,27.8,-5.46
0.002795865,26.6,-6.06
0.003217062,27.0,-6.06
0.00322829,26.3,-6.06
0.002832644,27.0,-6.04
0.002919255,25.9,-6.04
0.003129045,26.6,-6.06
0.003151531,27.0,-6.04
0.00313375,26.6,-6.04
0.002866052,27.0,-6.04
0.002901062,27.0,-6.04
0.003216595,26.6,-6.04
0.003160328,27.8,-6.04
0.002877243,27.4,-6.04
0.003101204,26.6,-6.04
0.003085542,27.0,-6.04
0.00289921,26.6,-6.04
0.003170578,26.6,-6.04
0.003210996,26.6,-6.04
0.003092915,26.6,-6.04
0.004621597,25.5,-6.85
0.004664057,24.5,-6.86
0.004818011,24.8,-6.86
0.005784552,23.5,-7.37
0.006012422,24.2,-7.36
0.007988158,23.5,-7.93
0.008000708,22.6,-7.93
0.007878314,22.1,-7.93
0.007955587,22.6,-7.93
0.009361595,22.3,-8.21
0.009253738,22.1,-8.22
0.008853514,22.1,-8.22
0.008725557,22.3,-8.22
0.00943788,22.6,-8.22
0.009358458,22.3,-8.22
0.009377075,22.3,-8.21
0.008858809,21.5,-8.21
